datetime,gazeX,gazeY,blink
20210601T125929.0825122,0,0,0
20210601T125929.1145542,0,0,0
20210601T125929.2742294,0.017,-0.002,0
20210601T125929.4501735,0.017,-0.002,0
20210601T125929.5143425,0.058,-0.028,0
20210601T125929.6103267,0.058,-0.028,0
20210601T125929.6423351,0.06,-0.093,0
20210601T125929.7063437,0.06,-0.093,0
20210601T125929.7703455,0.062,-0.058,0
20210601T125929.8023471,0.062,-0.058,0
20210601T125929.9141481,0.074,-0.033,0
20210601T125929.9783318,0.074,-0.033,0
20210601T125930.0103038,0.066,-0.039,0
20210601T125930.1063405,0.066,-0.039,0
20210601T125930.2024087,0.059,-0.029,0
20210601T125930.2821395,0.059,-0.029,0
20210601T125930.3141083,0.078,-0.06,0
20210601T125930.4102803,0.078,-0.06,0
20210601T125930.5384381,0.06,-0.058,0
20210601T125930.5703427,0.06,-0.058,0
20210601T125930.6343590,0.012,-0.017,0
20210601T125930.7461578,0.012,-0.017,0
20210601T125930.8103677,0.033,-0.04,0
20210601T125930.8423077,0.033,-0.04,0
20210601T125930.9063252,0.04,-0.036,0
20210601T125930.9703338,0.04,-0.036,0
20210601T125931.0023455,-0.01,-0.03,0
20210601T125931.1141660,-0.01,-0.03,0
20210601T125931.1781499,0.014,-0.019,0
20210601T125931.2423480,0.014,-0.019,0
20210601T125931.3383693,0.006,-0.039,0
20210601T125931.3704005,0.006,-0.039,0
20210601T125931.4664705,0,-0.022,0
20210601T125931.5461770,0,-0.022,0
20210601T125931.5781848,-0.007,-0.032,0
20210601T125931.6423841,-0.007,-0.032,0
20210601T125931.7064314,-0.044,-0.011,0
20210601T125931.7383511,-0.044,-0.011,0
20210601T125931.7703204,-0.021,-0.03,0
20210601T125931.8663460,-0.032,-0,0
20210601T125931.8983183,-0.032,-0,0
20210601T125932.0101789,-0.031,-0.027,0
20210601T125932.0422917,-0.031,-0.027,0
20210601T125932.2023072,-0.035,-0.003,0
20210601T125932.2663361,-0.035,-0.003,0
20210601T125932.3781683,-0.04,0.002,0
20210601T125932.4101362,-0.04,0.002,0
20210601T125932.5062775,-0.031,-0.001,0
20210601T125932.5383403,-0.031,-0.001,0
20210601T125932.5703163,-0.058,0.017,0
20210601T125932.7304051,-0.058,0.017,0
20210601T125932.8101337,-0.008,-0.01,0
20210601T125932.8421126,-0.008,-0.01,0
20210601T125932.9383120,0.022,0.004,0
20210601T125933.0023089,0.022,0.004,0
20210601T125933.0665031,0.023,-0.008,0
20210601T125933.1302873,0.023,-0.008,0
20210601T125933.1623266,0.005,-0.009,0
20210601T125933.2421580,0.005,-0.009,0
20210601T125933.2741308,0.013,-0.013,0
20210601T125933.3383177,0.013,-0.013,0
20210601T125933.4023592,0.028,0.008,0
20210601T125933.4343542,0.028,0.008,0
20210601T125933.5622910,0.017,-0.024,0
20210601T125933.6741713,0.017,-0.024,0
20210601T125933.7061863,0.013,-0.023,0
20210601T125933.7383414,0.013,-0.023,0
20210601T125933.8023460,0.002,-0.028,0
20210601T125933.8983474,0.002,-0.028,0
20210601T125933.9943633,-0.017,-0.021,0
20210601T125934.0741794,-0.017,-0.021,0
20210601T125934.1061934,-0.016,-0.001,0
20210601T125934.1703835,-0.016,-0.001,0
20210601T125934.2343702,-0.015,-0.023,0
20210601T125934.3303718,-0.015,-0.023,0
20210601T125934.4263368,-0.007,-0.014,0
20210601T125934.5381921,-0.007,-0.014,0
20210601T125934.6025980,-0.033,-0.009,0
20210601T125934.6663061,-0.033,-0.009,0
20210601T125934.7624753,-0.01,-0.019,0
20210601T125934.8583909,-0.01,-0.019,0
20210601T125934.8903654,-0.034,-0.027,0
20210601T125935.0021976,-0.034,-0.027,0
20210601T125935.0983928,-0.022,-0.01,0
20210601T125935.1625562,-0.022,-0.01,0
20210601T125935.2583698,-0.041,-0.007,0
20210601T125935.3223801,-0.041,-0.007,0
20210601T125935.4022060,-0.042,0.001,0
20210601T125935.4664188,-0.042,0.001,0
20210601T125935.5303811,-0.05,-0.028,0
20210601T125935.5944165,-0.05,-0.028,0
20210601T125935.7223479,-0.063,-0.007,0
