datetime,gazeX,gazeY,blink
20210601T145401.4617393,0,0,0
20210601T145401.6537223,0,0,0
20210601T145401.7178183,0.079,0.327,1
20210601T145401.8616119,0.079,0.327,1
20210601T145401.8938392,0.097,0.336,0
20210601T145402.0537704,0.097,0.336,0
20210601T145402.1179059,0.102,0.338,0
20210601T145402.1817573,0.102,0.338,0
20210601T145402.2616116,0.122,0.462,1
20210601T145402.3257864,0.122,0.462,1
20210601T145402.3898453,0.099,0.491,1
20210601T145402.4538705,0.099,0.491,1
20210601T145402.4858068,0.08,0.465,1
20210601T145402.5497758,0.08,0.465,1
20210601T145402.5818031,-0.01,0.408,0
20210601T145402.6616673,-0.01,0.408,0
20210601T145402.7257995,0.026,0.356,0
20210601T145402.8219434,0.026,0.356,0
20210601T145402.9178835,0.123,0.353,0
20210601T145402.9818279,0.123,0.353,0
20210601T145403.0936798,0.097,0.353,0
20210601T145403.1256677,0.097,0.353,0
20210601T145403.2858268,0.095,0.355,0
20210601T145403.3498822,0.095,0.355,0
20210601T145403.3817884,0.013,0.359,0
20210601T145403.4936403,0.013,0.359,0
20210601T145403.5576424,-0.027,0.353,0
20210601T145403.6218603,-0.027,0.353,0
20210601T145403.6538486,-0.055,0.335,0
20210601T145403.6857785,-0.055,0.335,0
20210601T145403.8460220,-0.046,0.338,0
20210601T145403.9256493,-0.046,0.338,0
20210601T145403.9896607,-0.062,0.348,0
20210601T145404.0539045,-0.078,0.349,0
20210601T145404.0857898,-0.078,0.349,0
20210601T145404.1817834,-0.075,0.345,0
20210601T145404.2457920,-0.075,0.345,0
20210601T145404.3576488,-0.115,0.335,0
20210601T145404.4218079,-0.115,0.335,0
20210601T145404.4538415,-0.106,0.34,0
20210601T145404.5817837,-0.106,0.34,0
20210601T145404.6458056,-0.136,0.321,0
20210601T145404.6778068,-0.136,0.321,0
20210601T145404.7896667,0.028,0.355,0
20210601T145404.8537818,0.028,0.355,0
20210601T145404.8857617,0.074,0.354,0
20210601T145404.9178046,0.074,0.354,0
20210601T145405.0137945,0.081,0.358,0
20210601T145405.0778739,0.081,0.358,0
20210601T145405.1418044,0.072,0.352,0
20210601T145405.1896513,0.072,0.352,0
20210601T145405.2216750,0.082,0.345,0
20210601T145405.2536527,0.082,0.345,0
20210601T145405.3498959,0.082,0.342,0
20210601T145405.4458967,0.082,0.342,0
20210601T145405.4778087,0.057,0.358,0
20210601T145405.5738946,0.057,0.358,0
20210601T145405.6536958,0.045,0.352,0
20210601T145405.7178041,0.045,0.352,0
20210601T145405.7498242,0.038,0.361,0
20210601T145405.8458983,0.038,0.361,0
20210601T145405.9098279,-0.002,0.349,0
20210601T145405.9739336,-0.002,0.349,0
20210601T145406.0059588,-0.004,0.355,0
20210601T145406.1179206,-0.004,0.355,0
20210601T145406.1817946,0.015,0.384,0
20210601T145406.2459063,0.015,0.384,0
20210601T145406.2778222,0.007,0.371,0
20210601T145406.3097773,0.007,0.371,0
20210601T145406.4856604,0.012,0.369,0
20210601T145406.5176645,0.012,0.369,0
20210601T145406.5817866,-0.005,0.357,0
20210601T145406.6778331,-0.005,0.357,0
20210601T145406.7738127,-0.007,0.362,0
20210601T145406.8856482,-0.007,0.362,0
20210601T145406.9176936,-0.03,0.358,0
20210601T145406.9496795,-0.03,0.358,0
20210601T145407.0778768,-0.031,0.358,0
20210601T145407.1737804,-0.031,0.358,0
20210601T145407.2060079,-0.012,0.35,0
20210601T145407.2700076,-0.012,0.35,0
20210601T145407.3816822,-0.031,0.364,0
20210601T145407.4138391,-0.031,0.364,0
20210601T145407.5418662,-0.048,0.348,0
20210601T145407.6059177,-0.048,0.348,0
20210601T145407.6698771,-0.056,0.348,0
20210601T145407.7018581,-0.056,0.348,0
20210601T145407.7816718,-0.065,0.336,0
20210601T145407.8458261,-0.065,0.336,0
20210601T145407.9098420,-0.059,0.358,0
20210601T145407.9737992,-0.059,0.358,0
20210601T145408.0058435,-0.093,0.36,0
20210601T145408.0378520,-0.093,0.36,0
20210601T145408.1816716,-0.077,0.35,0
20210601T145408.2458035,-0.077,0.35,0
20210601T145408.3098101,-0.105,0.353,0
20210601T145408.3738402,-0.104,0.359,0
20210601T145408.4378117,-0.104,0.359,0
20210601T145408.4697867,-0.093,0.349,0
20210601T145408.5817209,-0.093,0.349,0
20210601T145408.6136760,-0.098,0.346,0
20210601T145408.6778312,-0.098,0.346,0
20210601T145408.7418703,-0.094,0.349,0
20210601T145408.8058430,-0.094,0.349,0
20210601T145408.8378810,-0.099,0.35,0
20210601T145408.9339439,-0.099,0.35,0
20210601T145409.0137119,-0.104,0.352,0
20210601T145409.0776815,-0.104,0.352,0
