datetime,deblur time (ms)
20210601T134835.5994156,3957
20210601T135007.1028658,4448
20210601T135122.4748008,3349
20210601T135200.9900506,3381
20210601T135305.1299531,3095
20210601T135338.6969237,3401
20210601T135444.9621993,3242
20210601T135601.2602290,3124
20210601T135657.1259589,3606
20210601T135802.5178075,3114
20210601T135907.5645224,3045
20210601T140015.8615855,3235
20210601T140114.7311909,3795
20210601T140148.9880786,3205
20210601T140302.9319610,3884
20210601T140354.3941399,3379
20210601T140434.6428703,3216
20210601T140523.2979362,2644
20210601T140620.7553651,3334
20210601T140753.1846124,3244
20210601T140901.4367645,3137
20210601T141030.3267011,2889
20210601T141138.2251853,2889
20210601T141246.4442612,3210
20210601T141342.9935169,3560
20210601T141513.9386813,4942
20210601T141548.8209237,3862
20210601T141646.1883314,3175
20210601T141813.1944629,2978
20210601T141930.2353139,2954
20210601T142036.6646612,3416
20210601T142123.8002839,3147
20210601T142215.1329074,3320
20210601T142309.4161976,3168
20210601T142436.7021518,5164
20210601T142559.4705273,2734
20210601T142632.2560783,2787
20210601T142743.7013453,3451
20210601T142902.6798816,2914
20210601T142959.5085599,2818
20210601T143034.4753272,2767
20210601T143201.4203148,2791
20210601T143253.2278701,2778
20210601T143423.7121115,3355
20210601T143507.5758979,2823
20210601T143608.9132945,3304
20210601T143728.3374615,3371
20210601T143853.0475050,3641
20210601T144005.2781999,3232
20210601T144044.1501850,2867
