GazeDistanceCovered,HorSaccadeCount,HorSaccadeDistanceMean,HorSaccadeDistanceSD,HorSaccadeDistanceMedian,HorSaccadeDistanceMin,HorSaccadeDistanceMax,HorSaccadeDistanceRange,HorSaccadeTimeBetweenMean,HorSaccadeTimeBetweenSD,HorSaccadeTimeBetweenMedian,HorSaccadeTimeBetweenMin,HorSaccadeTimeBetweenMax,HorSaccadeTimeBetweenRange,VerSaccadeCount,VerSaccadeDistanceMean,VerSaccadeDistanceSD,VerSaccadeDistanceMedian,VerSaccadeDistanceMin,VerSaccadeDistanceMax,VerSaccadeDistanceRange,VerSaccadeTimeBetweenMean,VerSaccadeTimeBetweenSD,VerSaccadeTimeBetweenMedian,VerSaccadeTimeBetweenMin,VerSaccadeTimeBetweenMax,VerSaccadeTimeBetweenRange,OverallSaccadeCount,OverallSaccadeDistanceMean,OverallSaccadeDistanceSD,OverallSaccadeDistanceMedian,OverallSaccadeDistanceMin,OverallSaccadeDistanceMax,OverallSaccadeDistanceRange,OverallSaccadeTimeBetweenMean,OverallSaccadeTimeBetweenSD,OverallSaccadeTimeBetweenMedian,OverallSaccadeTimeBetweenMin,OverallSaccadeTimeBetweenMax,OverallSaccadeTimeBetweenRange,BlinkRatio,BlinkCount,BlinkDurationMean,BlinkDurationSD,BlinkDurationMedian,BlinkDurationMin,BlinkDurationMax,BlinkDurationRange,BlinkTimeBetweenMean,BlinkTimeBetweenSD,BlinkTimeBetweenMedian,BlinkTimeBetweenMin,BlinkTimeBetweenMax,BlinkTimeBetweenRange,class
1.7592813,8,0.086875,0.035991102,0.069000006,0.052,0.148,0.096,1.1140143,0.8111083,0.967977,0,2.9922426,2.9922426,0,0,0,0,0,0,0,10,0,10,10,10,0,4,0.13058023,0.013566598,0.12553184,0.118456736,0.15280052,0.03434378,2.3280668,1.541146,2.592099,0,4.12807,4.12807,0.28947368,3,0.640087,0.31925038,0.4640506,0.3680502,1.0881602,0.72010994,2.5493433,2.3033485,1.9200335,0.0961295,5.6318674,5.535738,inattentive
1.4031813,3,0.118,0.034650635,0.094,0.093,0.167,0.07399999,0.99735904,0.09971703,1.0239629,0.8641221,1.1039921,0.23987001,0,0,0,0,0,0,0,10,0,10,10,10,0,3,0.14169528,0.020027896,0.1400357,0.11803813,0.16701198,0.048973843,0.997359,0.22951706,1.0242916,0.7037622,1.2640232,0.560261,0.13432837,3,0.4214314,0.054481186,0.3999473,0.3680944,0.4962525,0.12815809,2.8479214,2.453856,1.8558884,0.4640043,6.223871,5.7598667,inattentive
2.0993,8,0.081125,0.034526937,0.065,0.059,0.17,0.111,1.1440004,0.89119345,0.82410204,0.1118173,3.263973,3.1521556,3,0.12499999,0.023508865,0.11199999,0.10499999,0.15799999,0.053000003,2.2187672,1.153113,2.9280045,0.5924405,3.1358564,2.543416,5,0.1367348,0.024899654,0.13572398,0.104785495,0.17000294,0.06521744,1.8624738,0.93065697,2.192014,0.5924405,2.9280045,2.3355641,0.42307693,4,0.68799627,0.19509634,0.7119744,0.399939,0.9280974,0.5281584,1.7999971,2.1300597,0.61614084,0.4796152,5.4880915,5.0084763,inattentive
2.268721,8,0.087,0.032829102,0.08,0.051,0.142,0.091000006,1.1380324,0.46640277,0.96801823,0.6400775,2.0321236,1.3920461,2,0.1345,0.0045000017,0.1345,0.13,0.139,0.009000003,4.5521297,2.855911,4.5521297,1.6962188,7.408041,5.711822,5,0.13361347,0.013720001,0.14242542,0.1118034,0.14771932,0.035915926,1.8208519,0.745373,1.6962188,0.7677147,3.0242114,2.2564967,0.28448275,1,1.8241835,0,1.8241835,1.8241835,1.8241835,0,7.951882,0,7.951882,7.951882,7.951882,0,inattentive
2.5367084,4,0.077,0.02806243,0.064500004,0.055,0.124,0.069,2.0120192,1.36436,1.6479983,0.6079118,4.1441684,3.5362566,5,0.17999999,0.0789962,0.13,0.10500002,0.315,0.20999998,1.7344322,1.3550119,0.6398956,0.6241074,3.6162486,2.9921412,7,0.17291102,0.06900254,0.14043148,0.11541231,0.31792137,0.20250906,1.2434859,1.083044,0.6397612,0.5600006,3.6162486,3.056248,0.4563107,2,1.7120221,1.0719914,1.7120221,0.6400307,2.7840135,2.143983,2.592115,0.43204367,2.592115,2.1600714,3.0241587,0.86408734,inattentive
3.690973,8,0.129375,0.034752473,0.134,0.067,0.173,0.10599999,1.1260394,0.48018837,0.968066,0.6559612,2.0319543,1.375993,6,0.20683332,0.04332211,0.19250001,0.144,0.26999998,0.12599999,1.5013858,1.4737636,0.79206693,0.5758421,4.7201066,4.1442647,7,0.1837281,0.04502521,0.17332627,0.11280515,0.26293156,0.1501264,1.2548729,1.0260664,0.671925,0.5758421,3.6482348,3.0723927,0.23966943,3,0.6345892,0.3566202,0.4319825,0.3359177,1.1358674,0.79994965,2.6720703,1.4806355,2.3520126,1.0400066,4.6241913,3.5841846,inattentive
3.115339,14,0.11414286,0.054556467,0.1035,0.051,0.23,0.179,0.65599424,0.23757353,0.63202614,0,1.0240403,1.0240403,2,0.2445,0.012500003,0.2445,0.232,0.257,0.025000006,0.3198906,0.3198906,0.3198906,0,0.6397812,0.6397812,10,0.18048005,0.06014528,0.16985929,0.117047,0.32140008,0.20435308,0.87841237,0.45587257,0.87205744,0,1.7280439,1.7280439,0.129771,1,1.1358674,0,1.1358674,1.1358674,1.1358674,0,0.3679394,0,0.3679394,0.3679394,0.3679394,0,inattentive
1.9078596,6,0.0745,0.03366873,0.058500003,0.051999997,0.148,0.096,1.4853482,1.2299795,0.80815685,0.3361005,3.5677285,3.231628,4,0.12400001,0.021644862,0.12250002,0.102,0.149,0.047000006,2.2280223,1.244827,2.22405,0.7360105,3.7279792,2.9919686,4,0.14861429,0.02458752,0.15112537,0.111892805,0.18031363,0.06842083,2.2280223,1.244827,2.22405,0.7360105,3.7279792,2.9919686,0.7058824,2,2.0159461,1.3438478,2.0159461,0.6720984,3.359794,2.6876955,2.911972,0.44800174,2.911972,2.4639702,3.3599737,0.8960035,inattentive
2.790796,9,0.12088889,0.050233778,0.142,0.053,0.20300001,0.15,1.0026459,0.6644375,0.7039437,0.5757557,2.784248,2.2084923,3,0.18133333,0.06265958,0.15399998,0.12200001,0.268,0.146,3.0933905,3.390598,0.7356388,0.6563308,7.8882017,7.2318707,8,0.15758851,0.030390972,0.1608119,0.10068763,0.21077238,0.11008475,1.1279765,0.6886979,0.91191137,0.5757557,2.784248,2.2084923,0.09774436,2,0.3999039,0.0641672,0.3999039,0.3357367,0.4640711,0.1283344,4.3921924,3.895912,4.3921924,0.4962805,8.288104,7.7918234,inattentive
2.3370051,12,0.071333334,0.018080067,0.062,0.053000003,0.099999994,0.04699999,0.7813232,0.3377541,0.6719306,0.3039101,1.6955813,1.3916712,1,0.127,0,0.127,0.127,0.127,0,8.912078,0,8.912078,8.912078,8.912078,0,6,0.15858074,0.053250838,0.1406752,0.10071742,0.24482648,0.14410907,1.5679772,1.0789899,0.9120909,0.6239295,3.2638795,2.63995,0.09022556,1,0.5764004,0,0.5764004,0.5764004,0.5764004,0,9.407863,0,9.407863,9.407863,9.407863,0,inattentive
