GazeDistanceCovered,HorSaccadeCount,HorSaccadeDistanceMean,HorSaccadeDistanceSD,HorSaccadeDistanceMedian,HorSaccadeDistanceMin,HorSaccadeDistanceMax,HorSaccadeDistanceRange,HorSaccadeTimeBetweenMean,HorSaccadeTimeBetweenSD,HorSaccadeTimeBetweenMedian,HorSaccadeTimeBetweenMin,HorSaccadeTimeBetweenMax,HorSaccadeTimeBetweenRange,VerSaccadeCount,VerSaccadeDistanceMean,VerSaccadeDistanceSD,VerSaccadeDistanceMedian,VerSaccadeDistanceMin,VerSaccadeDistanceMax,VerSaccadeDistanceRange,VerSaccadeTimeBetweenMean,VerSaccadeTimeBetweenSD,VerSaccadeTimeBetweenMedian,VerSaccadeTimeBetweenMin,VerSaccadeTimeBetweenMax,VerSaccadeTimeBetweenRange,OverallSaccadeCount,OverallSaccadeDistanceMean,OverallSaccadeDistanceSD,OverallSaccadeDistanceMedian,OverallSaccadeDistanceMin,OverallSaccadeDistanceMax,OverallSaccadeDistanceRange,OverallSaccadeTimeBetweenMean,OverallSaccadeTimeBetweenSD,OverallSaccadeTimeBetweenMedian,OverallSaccadeTimeBetweenMin,OverallSaccadeTimeBetweenMax,OverallSaccadeTimeBetweenRange,BlinkRatio,BlinkCount,BlinkDurationMean,BlinkDurationSD,BlinkDurationMedian,BlinkDurationMin,BlinkDurationMax,BlinkDurationRange,BlinkTimeBetweenMean,BlinkTimeBetweenSD,BlinkTimeBetweenMedian,BlinkTimeBetweenMin,BlinkTimeBetweenMax,BlinkTimeBetweenRange,class
5.4603243,17,0.06823529,0.018672185,0.061,0.051,0.114,0.063,1.723315,1.0609355,1.7279963,0,4.512462,4.512462,0,0,0,0,0,0,0,30,0,30,30,30,0,4,0.11368433,0.0069551626,0.11586508,0.10225947,0.12074767,0.018488199,3.7400553,2.3023279,4.3841,0,6.192022,6.192022,0.1957672,4,1.1118331,0.781977,0.6878421,0.6078507,2.4637973,1.8559467,5.7641945,7.3774047,2.0721974,0.4961853,18.416197,17.920012,attentive
5.216839,14,0.06635714,0.012372823,0.061,0.052,0.089,0.037,1.9383056,1.4419557,1.695943,0.5762098,6.480199,5.903989,0,0,0,0,0,0,0,30,0,30,30,30,0,5,0.11261135,0.013582509,0.10601886,0.10104455,0.13824616,0.037201613,5.513654,1.5150319,6.28805,2.560194,6.7197733,4.1595793,0.027713627,0,0,0,0,0,0,0,30,0,30,30,30,0,attentive
5.370086,18,0.06738889,0.014079689,0.0625,0.051999997,0.09900001,0.04700001,1.6106822,1.2121044,1.240092,0.5600097,5.295727,4.735717,0,0,0,0,0,0,0,30,0,30,30,30,0,4,0.10592548,0.0041885693,0.105358906,0.100623064,0.11236103,0.011737965,5.968053,3.1239588,4.711951,3.24807,11.200239,7.9521694,0.08607595,1,0.8960023,0,0.8960023,0.8960023,0.8960023,0,22.112236,0,22.112236,22.112236,22.112236,0,attentive
5.1750355,12,0.062083334,0.0078044673,0.062,0.052,0.08,0.027999997,2.2026954,1.2686489,2.2158897,0,4.6880703,4.6880703,0,0,0,0,0,0,0,30,0,30,30,30,0,0,0,0,0,0,0,0,30,0,30,30,30,0,0.079404466,2,0.4159979,0.016000003,0.4159979,0.3999979,0.4319979,0.032000005,11.640059,10.776048,11.640059,0.8640118,22.416107,21.552095,attentive
5.278659,13,0.063846156,0.01584466,0.058,0.051,0.106,0.055,2.0972557,1.098455,2.3200603,0,3.7280002,3.7280002,1,0.108,0,0.108,0.108,0.108,0,21.120062,0,21.120062,21.120062,21.120062,0,3,0.108711295,0.0077580526,0.10601886,0.100846425,0.1192686,0.018422179,7.8454413,3.8617008,9.56814,2.49596,11.472224,8.976264,0.46779662,3,2.922743,2.080734,2.7521853,0.4639377,5.552106,5.088168,5.7760344,5.577288,3.424116,0.4319802,13.472007,13.040027,attentive
5.4721646,10,0.062,0.006115552,0.0625,0.050000004,0.07,0.019999996,2.843193,1.3658196,3.2239087,0.8960345,4.6880875,3.792053,1,0.109000005,0,0.109000005,0.109000005,0.109000005,0,7.8077784,0,7.8077784,7.8077784,7.8077784,0,2,0.12623474,0.011126094,0.12623474,0.115108654,0.13736084,0.022252187,3.9038892,2.7837253,3.9038892,1.120164,6.6876144,5.5674505,0.01369863,1,0.5281221,0,0.5281221,0.5281221,0.5281221,0,7.5516825,0,7.5516825,7.5516825,7.5516825,0,attentive
4.8693624,11,0.06172727,0.0114819305,0.059,0.051,0.093,0.042000003,2.4974732,1.5613909,1.8242627,0.3680075,6.4159803,6.0479727,0,0,0,0,0,0,0,30,0,30,30,30,0,2,0.107201844,0.0021828003,0.107201844,0.10501904,0.10938464,0.0043656006,9.824178,9.024137,9.824178,0.800041,18.848314,18.048273,0.33841464,10,0.72168285,0.31060266,0.6320716,0.3678308,1.3602924,0.9924616,2.1951408,2.8990629,1.1517278,0.3678275,10.544094,10.176267,attentive
5.358273,16,0.0636875,0.010004492,0.061,0.052,0.089,0.037,1.6020188,1.2156464,1.0960816,0,4.095937,4.095937,0,0,0,0,0,0,0,30,0,30,30,30,0,1,0.12214745,0,0.12214745,0.12214745,0.12214745,0,0,0,0,0,0,0,0.03181818,2,0.45582044,0.055924356,0.45582044,0.3998961,0.5117448,0.11184871,3.3521845,1.5920702,3.3521845,1.7601143,4.944255,3.1841407,attentive
5.423591,16,0.057625,0.00795986,0.053999998,0.051,0.08,0.029,1.7959868,0.9710806,1.6320176,0,4.15984,4.15984,0,0,0,0,0,0,0,30,0,30,30,30,0,2,0.10587719,0.0047980137,0.10587719,0.10107917,0.1106752,0.009596027,6.3198695,6.2878275,6.3198695,0.032042,12.6076975,12.575656,0,0,0,0,0,0,0,0,30,0,30,30,30,0,attentive
5.1391783,13,0.058538463,0.006122032,0.059,0.051000003,0.072,0.020999994,2.2227767,1.8392676,1.6640434,0.6241559,7.4240627,6.7999067,0,0,0,0,0,0,0,30,0,30,30,30,0,0,0,0,0,0,0,0,30,0,30,30,30,0,0.24507043,3,1.2639067,0.4405222,1.1358409,0.7999349,1.8559445,1.0560095,8.709443,6.813892,4.5119486,3.296235,18.320145,15.02391,attentive
