GazeDistanceCovered,HorSaccadeCount,HorSaccadeDistanceMean,HorSaccadeDistanceSD,HorSaccadeDistanceMedian,HorSaccadeDistanceMin,HorSaccadeDistanceMax,HorSaccadeDistanceRange,HorSaccadeTimeBetweenMean,HorSaccadeTimeBetweenSD,HorSaccadeTimeBetweenMedian,HorSaccadeTimeBetweenMin,HorSaccadeTimeBetweenMax,HorSaccadeTimeBetweenRange,VerSaccadeCount,VerSaccadeDistanceMean,VerSaccadeDistanceSD,VerSaccadeDistanceMedian,VerSaccadeDistanceMin,VerSaccadeDistanceMax,VerSaccadeDistanceRange,VerSaccadeTimeBetweenMean,VerSaccadeTimeBetweenSD,VerSaccadeTimeBetweenMedian,VerSaccadeTimeBetweenMin,VerSaccadeTimeBetweenMax,VerSaccadeTimeBetweenRange,OverallSaccadeCount,OverallSaccadeDistanceMean,OverallSaccadeDistanceSD,OverallSaccadeDistanceMedian,OverallSaccadeDistanceMin,OverallSaccadeDistanceMax,OverallSaccadeDistanceRange,OverallSaccadeTimeBetweenMean,OverallSaccadeTimeBetweenSD,OverallSaccadeTimeBetweenMedian,OverallSaccadeTimeBetweenMin,OverallSaccadeTimeBetweenMax,OverallSaccadeTimeBetweenRange,BlinkRatio,BlinkCount,BlinkDurationMean,BlinkDurationSD,BlinkDurationMedian,BlinkDurationMin,BlinkDurationMax,BlinkDurationRange,BlinkTimeBetweenMean,BlinkTimeBetweenSD,BlinkTimeBetweenMedian,BlinkTimeBetweenMin,BlinkTimeBetweenMax,BlinkTimeBetweenRange,class
2.3898346,3,0.099,0.024097027,0.114,0.065,0.118,0.053000003,5.088068,3.142706,3.6162379,2.1921535,9.455813,7.26366,3,0.13033333,0.007760301,0.13,0.12099999,0.14,0.019000009,5.418743,7.2263765,0.624203,0,15.632027,15.632027,5,0.12823749,0.009825825,0.12712985,0.1154123,0.14221463,0.026802324,3.251246,3.3639169,2.5599754,0,9.455813,9.455813,0.045936394,1,0.5757688,0,0.5757688,0.5757688,0.5757688,0,18.848366,0,18.848366,18.848366,18.848366,0,attentive
1.9848751,5,0.072799996,0.021226397,0.066,0.051,0.109,0.058,3.564673,1.8533186,4.5278716,0,5.023277,5.023277,0,0,0,0,0,0,0,20,0,20,20,20,0,3,0.10747689,0.0015442169,0.10647065,0.10630146,0.109658554,0.0033570975,6.0104394,4.295045,8.256001,0,9.775317,9.775317,0.23770492,4,0.48387337,0.020674149,0.48001862,0.4638753,0.511581,0.04770571,4.339933,1.6977361,3.7757099,2.7680142,7.0402985,4.2722845,attentive
2.6679735,11,0.08190909,0.023658382,0.077,0.053,0.136,0.083000004,1.5360075,1.2469512,0.9757801,0.4319774,3.9520524,3.5200748,1,0.103,0,0.103,0.103,0.103,0,0.9758815,0,0.9758815,0.9758815,0.9758815,0,5,0.12268184,0.025775272,0.108673826,0.102176316,0.17,0.067823686,3.0208209,3.7418904,0.9601364,0.4319774,10.304143,9.872166,0.14126395,3,0.61348367,0.12066846,0.5282239,0.5280925,0.7841346,0.25604212,2.3785481,2.4611964,0.7679342,0.5116511,5.856059,5.344408,attentive
2.5741484,6,0.085,0.019714633,0.0845,0.059,0.11,0.051,3.1414003,2.1739619,3.5600877,0,6.3839483,6.3839483,2,0.136,0.012999997,0.136,0.12300001,0.149,0.025999993,0.31208235,0.31208235,0.31208235,0,0.6241647,0.6241647,6,0.12256554,0.01773477,0.115999565,0.10837436,0.16025604,0.051881686,3.1414003,2.2222064,3.8240829,0,6.5598116,6.5598116,0.043636363,1,0.52801,0,0.52801,0.52801,0.52801,0,0.8321573,0,0.8321573,0.8321573,0.8321573,0,attentive
1.897974,5,0.0868,0.015816448,0.087,0.059,0.104,0.045,3.587241,0.93467325,4.096017,2.128032,4.5919485,2.4639165,0,0,0,0,0,0,0,20,0,20,20,20,0,5,0.106356524,0.005906751,0.10439349,0.100124925,0.117426574,0.017301649,3.6320462,0.8262107,4.223823,2.2398489,4.320043,2.0801942,0.020477816,1,0.4318913,0,0.4318913,0.4318913,0.4318913,0,12.704181,0,12.704181,12.704181,12.704181,0,attentive
2.550445,6,0.08916667,0.021365212,0.096,0.059,0.113000005,0.054000005,2.975994,1.9616423,3.7520568,0,4.9279685,4.9279685,5,0.116,0.009879272,0.11399999,0.100999996,0.131,0.030000001,3.5519512,3.9511302,0.6718811,0,9.775935,9.775935,7,0.12131087,0.021513185,0.11386395,0.10107917,0.1605148,0.05943563,2.537108,1.89361,2.223972,0,4.84779,4.84779,0.020618556,0,0,0,0,0,0,0,20,0,20,20,20,0,attentive
1.7844962,4,0.087249994,0.01661889,0.0925,0.060999997,0.103,0.042000003,4.6560345,2.4425683,3.9439776,2.063904,8.672278,6.6083746,0,0,0,0,0,0,0,20,0,20,20,20,0,3,0.105482616,0.004481655,0.104737766,0.10040419,0.111305885,0.010901697,4.970644,2.8715682,3.968,2.063904,8.880028,6.816124,0.020761246,1,0.5437713,0,0.5437713,0.5437713,0.5437713,0,13.1040945,0,13.1040945,13.1040945,13.1040945,0,attentive
1.8329395,4,0.09025,0.010985785,0.0855,0.081,0.109,0.027999997,3.988098,0.8130148,4.1682067,2.6881745,4.927804,2.2396295,0,0,0,0,0,0,0,20,0,20,20,20,0,3,0.107074134,0.0015693669,0.106,0.105929226,0.10929318,0.003363952,3.9894285,0.8561072,3.9522793,2.9599838,5.056022,2.0960383,0.13584906,2,0.77615976,0.28005412,0.77615976,0.4961056,1.0562139,0.56010824,8.864001,7.05641,8.864001,1.8075917,15.920411,14.11282,attentive
1.8378471,5,0.075,0.019646881,0.084,0.050000004,0.097,0.047,3.5904582,1.0387535,3.520159,2.3998404,4.7841454,2.384305,0,0,0,0,0,0,0,20,0,20,20,20,0,3,0.10549794,0.0041453233,0.10647065,0.100005,0.11001818,0.010013178,6.064031,1.6867095,7.1839147,3.6801157,7.3280625,3.6479468,0.013937282,0,0,0,0,0,0,0,20,0,20,20,20,0,attentive
2.2254574,9,0.067999996,0.013258121,0.069,0.055,0.099,0.044,2.133334,1.3035138,2.22419,0.5602574,4.6240697,4.0638123,0,0,0,0,0,0,0,20,0,20,20,20,0,3,0.104866706,0.0032620146,0.10447966,0.10107917,0.10904127,0.0079621,4.912053,3.2637608,5.6638875,0.5922471,8.480025,7.8877783,0.06666667,1,0.6240015,0,0.6240015,0.6240015,0.6240015,0,19.296144,0,19.296144,19.296144,19.296144,0,attentive
