GazeDistanceCovered,HorSaccadeCount,HorSaccadeDistanceMean,HorSaccadeDistanceSD,HorSaccadeDistanceMedian,HorSaccadeDistanceMin,HorSaccadeDistanceMax,HorSaccadeDistanceRange,HorSaccadeTimeBetweenMean,HorSaccadeTimeBetweenSD,HorSaccadeTimeBetweenMedian,HorSaccadeTimeBetweenMin,HorSaccadeTimeBetweenMax,HorSaccadeTimeBetweenRange,VerSaccadeCount,VerSaccadeDistanceMean,VerSaccadeDistanceSD,VerSaccadeDistanceMedian,VerSaccadeDistanceMin,VerSaccadeDistanceMax,VerSaccadeDistanceRange,VerSaccadeTimeBetweenMean,VerSaccadeTimeBetweenSD,VerSaccadeTimeBetweenMedian,VerSaccadeTimeBetweenMin,VerSaccadeTimeBetweenMax,VerSaccadeTimeBetweenRange,OverallSaccadeCount,OverallSaccadeDistanceMean,OverallSaccadeDistanceSD,OverallSaccadeDistanceMedian,OverallSaccadeDistanceMin,OverallSaccadeDistanceMax,OverallSaccadeDistanceRange,OverallSaccadeTimeBetweenMean,OverallSaccadeTimeBetweenSD,OverallSaccadeTimeBetweenMedian,OverallSaccadeTimeBetweenMin,OverallSaccadeTimeBetweenMax,OverallSaccadeTimeBetweenRange,BlinkRatio,BlinkCount,BlinkDurationMean,BlinkDurationSD,BlinkDurationMedian,BlinkDurationMin,BlinkDurationMax,BlinkDurationRange,BlinkTimeBetweenMean,BlinkTimeBetweenSD,BlinkTimeBetweenMedian,BlinkTimeBetweenMin,BlinkTimeBetweenMax,BlinkTimeBetweenRange,class
3.3710973,5,0.0896,0.026852189,0.099999994,0.051,0.118,0.067,5.0208535,2.4380386,4.751999,2.1921535,9.455813,7.26366,3,0.13033333,0.007760301,0.13,0.12099999,0.14,0.019000009,5.418743,7.2263765,0.624203,0,15.632027,15.632027,6,0.123770356,0.013425051,0.123772904,0.1014347,0.14221463,0.040779926,3.336034,3.0766692,3.0881066,0,9.455813,9.455813,0.10945274,4,0.49191228,0.053447686,0.4799495,0.4319813,0.5757688,0.14378753,6.6561656,7.156203,3.592113,0.5920697,18.848366,18.256296,attentive
3.6693902,14,0.07935714,0.02250907,0.076000005,0.053,0.136,0.083000004,1.9211664,1.4646918,1.1999234,0,4.752023,4.752023,1,0.103,0,0.103,0.103,0.103,0,10.976128,0,10.976128,10.976128,10.976128,0,6,0.11995178,0.024308506,0.10748764,0.102176316,0.17,0.067823686,4.1840587,3.6712306,2.608011,0.5758783,10.304143,9.728265,0.16751269,5,0.5632091,0.112934016,0.5280925,0.4640135,0.7841346,0.32012114,3.2320592,2.6717153,1.456102,0.5116511,7.0402985,6.5286474,attentive
3.4975657,8,0.081625,0.019098021,0.0815,0.059,0.11,0.051,3.1500401,1.8892142,3.240004,0,6.3839483,6.3839483,2,0.136,0.012999997,0.136,0.12300001,0.149,0.025999993,0.31208235,0.31208235,0.31208235,0,0.6241647,0.6241647,8,0.119118094,0.017036883,0.1148025,0.100124925,0.16025604,0.060131118,3.196056,1.9305371,3.6400335,0,6.5598116,6.5598116,0.028571429,1,0.52801,0,0.52801,0.52801,0.52801,0,0.8321573,0,0.8321573,0.8321573,0.8321573,0,attentive
3.4766722,8,0.092250004,0.019272715,0.101500005,0.059,0.113000005,0.054000005,3.2759838,1.779557,4.175953,0,4.9279685,4.9279685,5,0.116,0.009879272,0.11399999,0.100999996,0.131,0.030000001,3.5519512,3.9511302,0.6718811,0,9.775935,9.775935,9,0.11714645,0.020535592,0.104737766,0.10040419,0.1605148,0.060110614,2.9119856,1.8153126,3.968,0,4.84779,4.84779,0.018348623,0,0,0,0,0,0,0,30,0,30,30,30,0,attentive
2.686608,6,0.0845,0.013949313,0.08499999,0.060999997,0.109,0.048,4.3440614,0.37505832,4.1682067,3.9199553,4.927804,1.0078487,0,0,0,0,0,0,0,30,0,30,30,30,0,4,0.10813207,0.0022814209,0.107646585,0.105929226,0.111305885,0.0053766593,5.5200653,1.5415374,5.023999,3.9522793,8.079984,4.1277046,0.09268293,3,0.6986969,0.2535505,0.5437713,0.4961056,1.0562139,0.56010824,9.098736,9.354765,3.1841383,1.8075917,22.304478,20.496885,attentive
2.6470432,8,0.075,0.019111514,0.0775,0.050000004,0.099,0.048999995,3.538018,0.9745266,3.304064,2.3998404,4.7841454,2.384305,0,0,0,0,0,0,0,30,0,30,30,30,0,4,0.10439325,0.0040680235,0.10377491,0.100005,0.11001818,0.010013178,6.4440327,1.6021692,7.2559886,3.6801157,7.5840383,3.9039226,0.009345794,0,0,0,0,0,0,0,30,0,30,30,30,0,attentive
4.5196004,16,0.0814375,0.018904263,0.076000005,0.055,0.12100001,0.06600001,1.7850237,1.2806518,1.0879526,0.5757021,4.5120196,3.9363174,1,0.102,0,0.102,0.102,0.102,0,3.584123,0,3.584123,3.584123,3.584123,0,10,0.11227431,0.0072027734,0.1095057,0.10270345,0.12322338,0.020519927,2.873618,1.2191263,3.0080762,0.928195,4.512221,3.5840259,0.09245742,4,0.5239451,0.1052238,0.50375974,0.4000727,0.688188,0.28811532,4.9521146,2.4390674,4.424124,2.624081,8.336129,5.7120485,attentive
3.3370366,8,0.076875,0.023566065,0.068,0.055,0.118,0.063,3.2500288,1.569699,3.3279245,0.6721028,5.4879494,4.8158464,1,0.147,0,0.147,0.147,0.147,0,0,0,0,0,0,0,6,0.1190362,0.014760893,0.11694245,0.10031949,0.14721753,0.046898037,3.4586878,2.1169138,3.3758903,0,7.184079,7.184079,0.09876543,4,0.45194343,0.06334333,0.4479376,0.3679999,0.5438986,0.17589867,6.920128,6.7533083,4.600116,0.864073,17.616207,16.752134,attentive
4.0807996,17,0.07970589,0.024870878,0.076000005,0.052,0.132,0.08,1.617892,1.1630125,1.4079747,0,3.935781,3.935781,4,0.11675,0.014463318,0.111499995,0.103,0.141,0.038000003,2.5840497,2.1985338,1.896034,0.592003,5.9521275,5.3601246,10,0.12936443,0.02909714,0.11371353,0.100603186,0.19314502,0.092541836,1.881622,1.9413824,0.7600087,0.3679838,6.976209,6.6082253,0.057831325,1,0.7679992,0,0.7679992,0.7679992,0.7679992,0,0.7201617,0,0.7201617,0.7201617,0.7201617,0,attentive
3.5322456,12,0.07066666,0.01753251,0.068,0.051,0.113000005,0.062000006,2.3720338,1.2917656,2.1118684,0.5598635,4.560011,4.0001473,1,0.12200001,0,0.12200001,0.12200001,0.12200001,0,0.3361091,0,0.3361091,0.3361091,0.3361091,0,7,0.10935439,0.0073028374,0.10907337,0.10004498,0.12214746,0.022102483,4.100596,2.622573,3.439856,0.3361091,9.2321615,8.896052,0.03818616,1,0.4959005,0,0.4959005,0.4959005,0.4959005,0,0.8321729,0,0.8321729,0.8321729,0.8321729,0,attentive
