GazeDistanceCovered,HorSaccadeCount,HorSaccadeDistanceMean,HorSaccadeDistanceSD,HorSaccadeDistanceMedian,HorSaccadeDistanceMin,HorSaccadeDistanceMax,HorSaccadeDistanceRange,HorSaccadeTimeBetweenMean,HorSaccadeTimeBetweenSD,HorSaccadeTimeBetweenMedian,HorSaccadeTimeBetweenMin,HorSaccadeTimeBetweenMax,HorSaccadeTimeBetweenRange,VerSaccadeCount,VerSaccadeDistanceMean,VerSaccadeDistanceSD,VerSaccadeDistanceMedian,VerSaccadeDistanceMin,VerSaccadeDistanceMax,VerSaccadeDistanceRange,VerSaccadeTimeBetweenMean,VerSaccadeTimeBetweenSD,VerSaccadeTimeBetweenMedian,VerSaccadeTimeBetweenMin,VerSaccadeTimeBetweenMax,VerSaccadeTimeBetweenRange,OverallSaccadeCount,OverallSaccadeDistanceMean,OverallSaccadeDistanceSD,OverallSaccadeDistanceMedian,OverallSaccadeDistanceMin,OverallSaccadeDistanceMax,OverallSaccadeDistanceRange,OverallSaccadeTimeBetweenMean,OverallSaccadeTimeBetweenSD,OverallSaccadeTimeBetweenMedian,OverallSaccadeTimeBetweenMin,OverallSaccadeTimeBetweenMax,OverallSaccadeTimeBetweenRange,BlinkRatio,BlinkCount,BlinkDurationMean,BlinkDurationSD,BlinkDurationMedian,BlinkDurationMin,BlinkDurationMax,BlinkDurationRange,BlinkTimeBetweenMean,BlinkTimeBetweenSD,BlinkTimeBetweenMedian,BlinkTimeBetweenMin,BlinkTimeBetweenMax,BlinkTimeBetweenRange,class
9.505226,25,0.11412,0.07535161,0.073,0.051,0.336,0.285,0.76607037,0.3429394,0.6718006,0,1.8881987,1.8881987,9,0.24588889,0.12330039,0.20700002,0.12800002,0.478,0.34999996,2.1101677,4.0186653,0.6561755,0.5600263,13.471487,12.911461,17,0.21229136,0.108670175,0.16349006,0.12401613,0.5034362,0.37942007,1.1171476,1.0353038,0.6718693,0.1918502,4.048199,3.856349,0.08695652,1,0.6399047,0,0.6399047,0.6399047,0.6399047,0,14.959629,0,14.959629,14.959629,14.959629,0,inattentive
11.185526,25,0.12787999,0.072400175,0.103,0.054,0.336,0.282,0.7622432,0.4172089,0.6395646,0,2.1280305,2.1280305,19,0.2161579,0.11016603,0.17900002,0.10100001,0.554,0.453,1.0029516,0.98803645,0.6242142,0,4.431576,4.431576,22,0.2414871,0.118317686,0.2177779,0.10141498,0.647929,0.54651403,0.8661855,0.70095664,0.6319862,0,3.1039083,3.1039083,0.1496063,2,0.5199491,0.119955584,0.5199491,0.3999935,0.6399047,0.23991117,3.288047,3.0639596,3.288047,0.2240876,6.3520064,6.1279187,inattentive
4.859845,16,0.0916875,0.043241646,0.073,0.052,0.187,0.135,1.1840196,1.0593053,0.8158896,0,4.1600246,4.1600246,7,0.14042857,0.034813218,0.13099998,0.10099998,0.20500004,0.10400006,2.7017605,4.0241942,0.8001371,0.5600195,12.36814,11.808121,13,0.14980297,0.027287561,0.14361058,0.10688778,0.20541182,0.09852404,1.454794,2.0704403,0.7677426,0,8.384003,8.384003,0.08550186,2,0.5520333,0.023932844,0.5520333,0.5281005,0.5759662,0.04786569,9.3841505,8.36017,9.3841505,1.0239797,17.744322,16.720343,inattentive
4.202223,10,0.1226,0.04087836,0.13599999,0.053999998,0.187,0.13300002,1.9024295,1.3525975,1.2629654,0.6260641,4.560058,3.933994,9,0.13877779,0.029794771,0.12900001,0.110000014,0.21000001,0.099999994,2.1475456,2.0708086,0.7038414,0.624296,6.879945,6.2556486,10,0.1623999,0.04113238,0.15430206,0.11280516,0.22299105,0.11018589,1.9184098,1.3955443,1.2640738,0.559856,4.1599703,3.6001143,0.06666667,0,0,0,0,0,0,0,20,0,20,20,20,0,inattentive
4.5144424,25,0.10368,0.04466741,0.091000006,0.050999995,0.18,0.12900001,0.7782413,0.2423576,0.6563721,0.5599759,1.5039202,0.9439443,4,0.151,0.017507149,0.14899999,0.131,0.17500001,0.044000015,4.7200656,6.745146,0.94376945,0.5927687,16.399954,15.807185,15,0.1467955,0.022299819,0.14198944,0.116103396,0.18417655,0.06807315,1.2586842,0.8012761,0.831997,0.5436949,3.0563457,2.5126507,0.19480519,2,1.592154,0.16797036,1.592154,1.4241837,1.7601244,0.33594072,8.383898,7.1520214,8.383898,1.2318763,15.535919,14.304043,inattentive
4.407224,20,0.0907,0.043877214,0.0745,0.050000004,0.199,0.14899999,0.9664027,0.49531955,0.7840564,0.0640061,2.1921015,2.1280954,4,0.14875,0.025606405,0.15149999,0.11399999,0.17800002,0.064000025,4.616011,6.0587616,1.4159335,0.560141,15.072037,14.511896,10,0.1427567,0.032498047,0.1313851,0.10609901,0.2005642,0.094465196,1.8432077,1.3196213,1.3358772,0.6399089,4.352208,3.7122993,0.16666667,1,2.928013,0,2.928013,2.928013,2.928013,0,16.864107,0,16.864107,16.864107,16.864107,0,inattentive
3.8663588,14,0.09828571,0.050891243,0.064500004,0.050000004,0.2,0.15,1.2788533,0.91291046,0.8639769,0.5605455,3.4718022,2.9112568,3,0.12666667,0.017632041,0.12900001,0.104,0.147,0.042999998,6.288015,6.8694463,2.1597643,0.73623,15.968051,15.231821,9,0.15397356,0.024030708,0.1457738,0.13529965,0.20376702,0.06846736,2.096005,1.8497033,0.8639776,0.5921723,5.9998417,5.4076695,0.8490566,4,2.1441293,1.3891904,1.384097,1.2640333,4.54429,3.2802567,2.8279116,4.1404176,0.663936,0,9.983774,9.983774,inattentive
5.00904,17,0.10029412,0.04602527,0.092,0.052,0.191,0.139,1.0993017,0.83562976,0.832051,0.160178,3.8879013,3.7277234,3,0.23166665,0.14424592,0.153,0.107999995,0.434,0.32599998,6.1495466,7.7801704,0.7038991,0.5925585,17.152182,16.559624,11,0.16550396,0.08798803,0.12776932,0.103469804,0.4172685,0.31379873,1.7557024,1.2903792,1.1200585,0.5601103,4.7999597,4.2398496,0.08455882,3,0.5173986,0.15254243,0.4798176,0.3522202,0.7201579,0.3679377,6.0960627,7.6491437,0.8320412,0.5438412,16.912306,16.368465,inattentive
5.629712,20,0.1047,0.044696867,0.094,0.052,0.191,0.139,0.9215962,0.34168348,0.832042,0.5604165,1.9358199,1.3754034,4,0.20324999,0.13426721,0.1355,0.107999995,0.434,0.32599998,2.0881162,2.2216022,0.9199809,0.5925585,5.919945,5.3273864,14,0.16180417,0.08063178,0.13437724,0.103469804,0.4172685,0.31379873,1.3165661,0.9247915,1.0480856,0.5601103,3.8239825,3.2638721,0.08148148,3,0.5760317,0.10380286,0.5281195,0.4798176,0.7201579,0.24034032,2.351984,2.3562512,0.8320412,0.5438412,5.6800694,5.136228,inattentive
4.2934403,17,0.09964706,0.04991869,0.077,0.053,0.21200001,0.15900001,1.1181337,1.0350715,0.7202518,0.4639563,4.8800387,4.4160824,4,0.1985,0.07269973,0.19250003,0.10700001,0.30200002,0.19500001,4.6960707,6.942195,0.6960732,0.67188,16.720257,16.048376,11,0.16312623,0.042491883,0.1547385,0.10692053,0.25700003,0.15007949,1.732379,1.6899157,0.6400805,0.4639563,5.0563803,4.592424,0.16796875,3,0.95470303,0.65059865,0.5603943,0.431921,1.8717937,1.4398727,5.685341,5.191382,3.6959243,0.559809,12.800289,12.24048,inattentive
