GazeDistanceCovered,HorSaccadeCount,HorSaccadeDistanceMean,HorSaccadeDistanceSD,HorSaccadeDistanceMedian,HorSaccadeDistanceMin,HorSaccadeDistanceMax,HorSaccadeDistanceRange,HorSaccadeTimeBetweenMean,HorSaccadeTimeBetweenSD,HorSaccadeTimeBetweenMedian,HorSaccadeTimeBetweenMin,HorSaccadeTimeBetweenMax,HorSaccadeTimeBetweenRange,VerSaccadeCount,VerSaccadeDistanceMean,VerSaccadeDistanceSD,VerSaccadeDistanceMedian,VerSaccadeDistanceMin,VerSaccadeDistanceMax,VerSaccadeDistanceRange,VerSaccadeTimeBetweenMean,VerSaccadeTimeBetweenSD,VerSaccadeTimeBetweenMedian,VerSaccadeTimeBetweenMin,VerSaccadeTimeBetweenMax,VerSaccadeTimeBetweenRange,OverallSaccadeCount,OverallSaccadeDistanceMean,OverallSaccadeDistanceSD,OverallSaccadeDistanceMedian,OverallSaccadeDistanceMin,OverallSaccadeDistanceMax,OverallSaccadeDistanceRange,OverallSaccadeTimeBetweenMean,OverallSaccadeTimeBetweenSD,OverallSaccadeTimeBetweenMedian,OverallSaccadeTimeBetweenMin,OverallSaccadeTimeBetweenMax,OverallSaccadeTimeBetweenRange,BlinkRatio,BlinkCount,BlinkDurationMean,BlinkDurationSD,BlinkDurationMedian,BlinkDurationMin,BlinkDurationMax,BlinkDurationRange,BlinkTimeBetweenMean,BlinkTimeBetweenSD,BlinkTimeBetweenMedian,BlinkTimeBetweenMin,BlinkTimeBetweenMax,BlinkTimeBetweenRange,class
2.5560205,11,0.07618182,0.035817258,0.06,0.051,0.156,0.105000004,1.7527564,1.3175734,1.1039326,0.1280607,4.2240324,4.0959716,0,0,0,0,0,0,0,20,0,20,20,20,0,3,0.13539252,0.023934634,0.14749236,0.10196567,0.15671949,0.054753818,3.8453884,1.5281354,4.288127,1.7921393,5.455899,3.6637595,0,0,0,0,0,0,0,0,20,0,20,20,20,0,attentive
3.2363403,14,0.090500005,0.044020694,0.07,0.051000003,0.20300001,0.15200001,1.0765636,0.7433719,0.8961875,0.2718777,3.4561567,3.184279,0,0,0,0,0,0,0,20,0,20,20,20,0,5,0.15126893,0.032321993,0.15026976,0.104,0.2055067,0.101506695,2.9215877,1.1995443,3.7280345,1.184215,4.127881,2.943666,0.04347826,0,0,0,0,0,0,0,20,0,20,20,20,0,attentive
4.1624,20,0.09315,0.05176705,0.063999996,0.052,0.232,0.17999999,0.9168026,0.39593697,0.76797366,0.5118989,2.0319314,1.5200325,4,0.19375,0.009522976,0.197,0.17800003,0.20299998,0.024999946,2.7600086,2.435026,1.9761051,0.5918976,6.4959264,5.904029,8,0.17415409,0.052650806,0.17753269,0.10100494,0.25160685,0.15060191,1.8639967,1.6403148,0.80004394,0.5118989,4.944143,4.432244,0.03125,0,0,0,0,0,0,0,20,0,20,20,20,0,attentive
3.37551,15,0.08546667,0.043706395,0.065,0.054,0.18900001,0.135,1.2725455,0.7296394,1.1201454,0.2881604,3.3600662,3.0719059,0,0,0,0,0,0,0,20,0,20,20,20,0,5,0.15184942,0.025794458,0.1592608,0.11720921,0.18346934,0.06626013,3.5040514,1.2732816,3.85596,2.0160878,5.360087,3.3439991,0.014184397,0,0,0,0,0,0,0,20,0,20,20,20,0,attentive
3.1989362,18,0.093611114,0.05621105,0.061499998,0.050000004,0.20500001,0.155,1.0248955,0.59566295,0.79997605,0.256187,2.5921676,2.3359807,0,0,0,0,0,0,0,20,0,20,20,20,0,6,0.15297343,0.036267012,0.16018108,0.10143471,0.20303941,0.1016047,3.0746868,1.8078011,2.60809,1.1199698,5.5677624,4.4477925,0.0069444445,0,0,0,0,0,0,0,20,0,20,20,20,0,attentive
3.066882,13,0.08684616,0.047535975,0.066,0.052999996,0.205,0.15200001,1.2356987,0.8869801,0.8323331,0.5920494,3.2958965,2.7038472,0,0,0,0,0,0,0,20,0,20,20,20,0,5,0.16535428,0.03286582,0.17031737,0.11940267,0.20664221,0.08723954,2.8064582,2.2913861,1.3118874,0.6564609,6.3839164,5.7274556,0.021052632,1,0.4641316,0,0.4641316,0.4641316,0.4641316,0,13.56816,0,13.56816,13.56816,13.56816,0,attentive
3.108086,10,0.1105,0.04100549,0.12,0.052000005,0.164,0.112,1.356819,1.0871286,0.7519679,0.1282095,3.5679207,3.439711,2,0.1485,0.0065000057,0.1485,0.14199999,0.155,0.013000011,5.000135,4.376241,5.000135,0.6238936,9.376376,8.752482,7,0.15881035,0.02812195,0.15826876,0.104,0.19480503,0.090805024,1.938313,0.9838498,2.1918309,0.6238936,3.5679207,2.944027,0.04109589,0,0,0,0,0,0,0,20,0,20,20,20,0,attentive
3.0971754,13,0.10223077,0.04907632,0.077,0.053000003,0.191,0.138,1.3070729,0.87377656,0.8797666,0,2.720145,2.720145,0,0,0,0,0,0,0,20,0,20,20,20,0,6,0.16758837,0.02196144,0.1703048,0.13140017,0.19226284,0.060862675,2.5679667,2.202839,2.055993,0,5.7279058,5.7279058,0.010791367,0,0,0,0,0,0,0,20,0,20,20,20,0,attentive
2.8216348,13,0.09476923,0.036555868,0.074,0.055999998,0.15799999,0.102,1.3784684,1.2665756,0.8319602,0.5919746,5.055993,4.4640183,0,0,0,0,0,0,0,20,0,20,20,20,0,6,0.1460039,0.016758926,0.149368,0.11936917,0.1661114,0.046742223,2.9866815,2.573837,2.4318893,0.5919746,7.695852,7.103877,0.020689655,0,0,0,0,0,0,0,20,0,20,20,20,0,attentive
2.9286504,11,0.08963636,0.037743807,0.072,0.052,0.155,0.103,1.589838,1.0325727,1.0397958,0.6718281,3.9200046,3.2481766,2,0.118499994,0.0045000017,0.118499994,0.11399999,0.122999996,0.009000003,8.280098,7.6723104,8.280098,0.6077875,15.952409,15.344622,6,0.14727771,0.0148527855,0.15281266,0.11868024,0.16256076,0.043880522,2.914703,1.9776915,2.65615,0.6077875,6.1598415,5.552054,0.073800735,1,0.7038536,0,0.7038536,0.7038536,0.7038536,0,10.800254,0,10.800254,10.800254,10.800254,0,attentive
3.7027962,22,0.08913636,0.043372903,0.0705,0.050000004,0.20300001,0.153,0.85966146,0.41003785,0.82426023,0,2.3199751,2.3199751,2,0.17400002,0.062,0.17400002,0.11200002,0.23600002,0.124,6.80004,6.207848,6.80004,0.5921915,13.007888,12.415696,10,0.15211198,0.045984235,0.13458511,0.105080925,0.24763079,0.14254987,1.8096033,1.537843,0.90398526,0.5919927,4.288017,3.6960242,0.027777778,0,0,0,0,0,0,0,20,0,20,20,20,0,attentive
3.4917684,20,0.09715,0.05044232,0.07000001,0.051000003,0.204,0.153,0.9432018,0.58319694,0.728161,0,2.7996874,2.7996874,0,0,0,0,0,0,0,20,0,20,20,20,0,9,0.13718688,0.02173276,0.13793114,0.10124228,0.16565627,0.06441399,1.6231141,0.8693989,1.3279924,0.5920091,3.2638214,2.6718123,0,0,0,0,0,0,0,0,20,0,20,20,20,0,attentive
3.984853,21,0.10847619,0.04700316,0.092999995,0.052999996,0.193,0.14000002,0.8952315,0.36688018,0.7358404,0.5920806,1.8878996,1.295819,0,0,0,0,0,0,0,20,0,20,20,20,0,12,0.14755303,0.022638982,0.15119222,0.10332473,0.19339597,0.09007124,1.566655,1.098181,1.1441122,0.6394199,4.480433,3.841013,0.0070921984,0,0,0,0,0,0,0,20,0,20,20,20,0,attentive
2.6685255,11,0.092,0.040883426,0.076000005,0.051000003,0.16,0.109,1.5200157,1.3154272,0.9280081,0,4.687981,4.687981,0,0,0,0,0,0,0,20,0,20,20,20,0,6,0.1350137,0.02531728,0.13427974,0.104316816,0.16492422,0.060607404,2.813386,1.9638965,2.7200823,0.2561892,5.920007,5.663818,0.013888889,0,0,0,0,0,0,0,20,0,20,20,20,0,attentive
2.946077,11,0.10127273,0.041907024,0.107999995,0.051999997,0.171,0.119,1.5869273,1.34025,1.119944,0.1923768,4.784166,4.5917892,0,0,0,0,0,0,0,20,0,20,20,20,0,6,0.14300884,0.020260086,0.1374,0.11449017,0.17932373,0.06483357,2.786705,2.1921072,2.7438886,0.1923768,5.584034,5.3916574,0.034965035,1,0.5759709,0,0.5759709,0.5759709,0.5759709,0,13.296016,0,13.296016,13.296016,13.296016,0,attentive
3.2766585,12,0.091583334,0.04680359,0.064500004,0.050000004,0.183,0.13299999,1.4906875,1.6910621,0.72812325,0.3040646,6.383912,6.0798473,3,0.13166669,0.01319934,0.14100003,0.113000005,0.14100003,0.028000027,3.7599847,3.894972,1.424592,0.607303,9.248059,8.640757,7,0.14835395,0.027044281,0.15289867,0.102083296,0.18613167,0.084048375,2.3131642,2.211036,1.3606044,0.3040646,6.383912,6.0798473,0.0433213,1,0.432032,0,0.432032,0.432032,0.432032,0,11.247903,0,11.247903,11.247903,11.247903,0,attentive
