datetime,deblur time (ms)
20210601T145442.6588433,2598
20210601T145521.4460938,2772
20210601T145557.0019387,2536
20210601T145722.4645277,4465
20210601T145837.9607141,2486
20210601T145935.5435142,3529
20210601T150039.1511846,2575
20210601T150126.8008225,2625
20210601T150159.6535974,2651
20210601T150327.2843809,2584
20210601T150429.0027276,2690
20210601T150516.7020357,2562
20210601T150607.4605652,2737
20210601T150657.4487653,2933
20210601T150755.3627048,2911
20210601T150901.0542512,2639
20210601T151001.7046028,2597
20210601T151055.5073799,3793
20210601T151139.6330225,2901
20210601T151242.5666415,2884
20210601T151339.3774544,2642
20210601T151507.2533938,3853
20210601T151544.4668363,3202
20210601T151641.3479209,2846
20210601T151738.2703299,2863
20210601T151824.7837591,3511
20210601T151935.3869763,2561
20210601T152052.0123413,2583
20210601T152130.7422379,2601
20210601T152248.4571343,2587
20210601T152326.3838527,3930
20210601T152442.1703186,2709
20210601T152528.7601358,2558
20210601T152610.6011983,2738
20210601T152716.2155313,2512
20210601T152813.0595666,2662
20210601T152903.7831413,2559
20210601T153005.5713874,2776
20210601T153125.0507884,2487
20210601T153252.8123280,2703
20210601T153423.0929221,4284
20210601T153508.0478443,2829
20210601T153625.0039442,2688
20210601T153755.1106891,3873
20210601T153920.1073914,3001
20210601T154010.1005010,3964
20210601T154121.0538264,2894
20210601T154238.9075189,2841
20210601T154327.8280744,2897
20210601T154441.6258572,2793
20210601T154559.5817981,2950
20210601T154731.5743384,2982
20210601T134835.5994156,3957
20210601T135007.1028658,4448
20210601T135122.4748008,3349
20210601T135200.9900506,3381
20210601T135305.1299531,3095
20210601T135338.6969237,3401
20210601T135444.9621993,3242
20210601T135601.2602290,3124
20210601T135657.1259589,3606
20210601T135802.5178075,3114
20210601T135907.5645224,3045
20210601T140015.8615855,3235
20210601T140114.7311909,3795
20210601T140148.9880786,3205
20210601T140302.9319610,3884
20210601T140354.3941399,3379
20210601T140434.6428703,3216
20210601T140523.2979362,2644
20210601T140620.7553651,3334
20210601T140753.1846124,3244
20210601T140901.4367645,3137
20210601T141030.3267011,2889
20210601T141138.2251853,2889
20210601T141246.4442612,3210
20210601T141342.9935169,3560
20210601T141513.9386813,4942
20210601T141548.8209237,3862
20210601T141646.1883314,3175
20210601T141813.1944629,2978
20210601T141930.2353139,2954
20210601T142036.6646612,3416
20210601T142123.8002839,3147
20210601T142215.1329074,3320
20210601T142309.4161976,3168
20210601T142436.7021518,5164
20210601T142559.4705273,2734
20210601T142632.2560783,2787
20210601T142743.7013453,3451
20210601T142902.6798816,2914
20210601T142959.5085599,2818
20210601T143034.4753272,2767
20210601T143201.4203148,2791
20210601T143253.2278701,2778
20210601T143423.7121115,3355
20210601T143507.5758979,2823
20210601T143608.9132945,3304
20210601T143728.3374615,3371
20210601T143853.0475050,3641
20210601T144005.2781999,3232
20210601T144044.1501850,2867
20210601T174156.4782212,3138
20210601T174253.5472539,3048
20210601T174414.5762427,3032
20210601T174503.2687266,2648
20210601T174601.2658340,2858
20210601T174720.0351994,2754
20210601T174850.8456756,2744
20210601T175012.6718921,2765
20210601T175101.6334559,2856
20210601T175226.2256999,2602
20210601T175314.0151114,2748
20210601T175417.7618875,2718
20210601T175544.7147504,2933
20210601T175622.5138945,2697
20210601T175728.3274938,2814
20210601T175842.0304240,2681
20210601T175938.8179968,2788
20210601T180020.4997722,2687
20210601T180055.5157145,2859
20210601T180156.3072997,2713
20210601T180259.1979706,2888
20210601T180355.2741112,2990
20210601T180512.3545408,2865
20210601T180603.2872966,2780
20210601T180659.0615282,2760
20210601T180816.7532169,2622
20210601T180859.5075377,2681
20210601T181002.9674996,3436
20210601T181056.7886640,2694
20210601T181221.6674461,2836
20210601T181346.4918319,2742
20210601T181445.6666249,3119
20210601T181537.5516273,2874
20210601T181620.3042538,2736
20210601T181655.1479968,2775
20210601T181732.7197656,2561
20210601T181852.4500633,2702
20210601T181950.2251644,2762
20210601T182113.2142097,2912
20210601T182238.9056324,2689
20210601T182326.6995683,2790
20210601T182444.3170926,2615
20210601T182537.1670710,2854
20210601T182611.8678476,2657
20210601T182741.6901546,2729
20210601T182825.5422086,2693
20210601T182927.2069116,2659
20210601T183042.8192071,2598
