datetime,deblur time (ms)
20210601T174156.4782212,3138
20210601T174253.5472539,3048
20210601T174414.5762427,3032
20210601T174503.2687266,2648
20210601T174601.2658340,2858
20210601T174720.0351994,2754
20210601T174850.8456756,2744
20210601T175012.6718921,2765
20210601T175101.6334559,2856
20210601T175226.2256999,2602
20210601T175314.0151114,2748
20210601T175417.7618875,2718
20210601T175544.7147504,2933
20210601T175622.5138945,2697
20210601T175728.3274938,2814
20210601T175842.0304240,2681
20210601T175938.8179968,2788
20210601T180020.4997722,2687
20210601T180055.5157145,2859
20210601T180156.3072997,2713
20210601T180259.1979706,2888
20210601T180355.2741112,2990
20210601T180512.3545408,2865
20210601T180603.2872966,2780
20210601T180659.0615282,2760
20210601T180816.7532169,2622
20210601T180859.5075377,2681
20210601T181002.9674996,3436
20210601T181056.7886640,2694
20210601T181221.6674461,2836
20210601T181346.4918319,2742
20210601T181445.6666249,3119
20210601T181537.5516273,2874
20210601T181620.3042538,2736
20210601T181655.1479968,2775
20210601T181732.7197656,2561
20210601T181852.4500633,2702
20210601T181950.2251644,2762
20210601T182113.2142097,2912
20210601T182238.9056324,2689
20210601T182326.6995683,2790
20210601T182444.3170926,2615
20210601T182537.1670710,2854
20210601T182611.8678476,2657
20210601T182741.6901546,2729
20210601T182825.5422086,2693
20210601T182927.2069116,2659
20210601T183042.8192071,2598
